event_history
Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
dbe1fc88-4212-425c-a2a8-e1e1b94332d8,"2020-05-10, 07:43:05 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
c0be6b12-ef26-40f5-bc01-8979dceb3efc,"2020-05-10, 07:42:27 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,81.98.193.175
3c488a93-755c-4028-a882-75857317e4f6,"2020-05-10, 07:41:23 PM",Accountant,ConsoleLogin,,,,us-east-1,,81.98.193.175
1ac2ef12-0b99-43d5-9685-269d14bbdc8d,"2020-05-10, 07:40:47 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
4ab6d74c-f98e-441c-acee-83c032249e14,"2020-05-10, 07:40:19 PM",Accountant,ConsoleLogin,,,,us-east-1,,81.98.193.175
5f167f9b-c5dd-4125-b4a5-07a8b27d5553,"2020-05-10, 07:38:48 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity2""}]",,us-east-1,,81.98.193.175
160b408b-6b09-469d-a7f2-eeab7a7dd694,"2020-05-10, 07:38:47 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity1""}]",,us-east-1,NoSuchEntityException,81.98.193.175
536311d6-6a94-47b7-9c26-f7823b5938f3,"2020-05-10, 07:38:47 PM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity1""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",,us-east-1,,81.98.193.175
813648d6-7809-4a0a-9b20-7b61f24efbff,"2020-05-10, 07:38:47 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""jenkins""}]",,us-east-1,,81.98.193.175
9418b8a6-cdc5-4079-bf38-465d0f91bd14,"2020-05-10, 07:38:47 PM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIA3WJ4ZNIHRM4SKMV2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""jenkins""}]",,us-east-1,,81.98.193.175
a336b2ea-a1c9-4ab2-98ea-15f0ca9ec94a,"2020-05-10, 07:38:47 PM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIA3WJ4ZNIH67SDSWHW""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity1""}]",,us-east-1,,81.98.193.175
af2e8e01-3738-43b2-8c74-ad4878e5dd7c,"2020-05-10, 07:38:47 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""jenkins""}]",,us-east-1,,81.98.193.175
b3e34301-6c70-4c0b-bcb0-9295bc7627fc,"2020-05-10, 07:38:47 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity2""}]",,us-east-1,NoSuchEntityException,81.98.193.175
b9895920-aa91-4e97-acf6-e8b1b2931dfe,"2020-05-10, 07:38:47 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity1""}]",,us-east-1,,81.98.193.175
bba897fa-d497-40cf-8886-314d2105eb39,"2020-05-10, 07:38:47 PM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""jenkins""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,81.98.193.175
ceb4fc22-545f-4f5a-82a4-40e02431d817,"2020-05-10, 07:38:47 PM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIA3WJ4ZNIH6PINKFYB""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity2""}]",,us-east-1,,81.98.193.175
227825fa-4a00-4735-b6fc-7568516f1d06,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
22cd749c-1078-49da-907f-1224415a57de,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonVPCFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
27c0d2c5-145d-4b6f-a264-6adc2da16893,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudFormationFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
47006033-205c-4407-84ea-b3e1f01816ce,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Jenkins""}]",,us-east-1,,81.98.193.175
6863c2d6-a32b-48c7-915a-0aa0df7c7938,"2020-05-10, 07:38:38 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacity2""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
80801182-a8f6-4566-88da-3438ec1d401a,"2020-05-10, 07:38:38 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""jenkins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Jenkins""}]",,us-east-1,,81.98.193.175
9958eb13-7b27-4cae-933e-0758a1c5450f,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonVPCFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Jenkins""}]",,us-east-1,,81.98.193.175
9f8976f7-a448-4152-8f50-ce6d3cb616fd,"2020-05-10, 07:38:38 PM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
a98cf3d9-5003-4dae-9941-c26b5eab3785,"2020-05-10, 07:38:38 PM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Jenkins""}]",,us-east-1,,81.98.193.175
ac3fc7b1-9d39-4005-bf78-4f4b9432ab17,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSResourceAccessManagerFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
d203de83-e335-46f3-af50-d3e851f9b673,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonEC2FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Jenkins""}]",,us-east-1,,81.98.193.175
dca3522d-c7f2-4b22-b46f-bde546d844b7,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonEC2FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
e3df1034-0907-47c3-adf9-eda0c4a2d238,"2020-05-10, 07:38:38 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Udacity""}]",,us-east-1,,81.98.193.175
8897f027-a40f-498a-8dca-2e1309500ac5,"2020-05-10, 07:38:28 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,81.98.193.175
c798ea20-d393-47f3-bd99-a150dce6e72f,"2020-05-10, 07:38:20 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,81.98.193.175
a5c345bb-b0b1-4337-9548-94321952ab07,"2020-05-10, 07:37:57 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,81.98.193.175
094b97e4-2250-45d2-9d9f-689e0e424585,"2020-05-10, 07:37:56 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,81.98.193.175
1cd8599d-9d89-4352-83ad-88729a16e16e,"2020-05-10, 07:37:56 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,81.98.193.175
77e43e20-8c50-4c32-8453-dd5ca6249e5a,"2020-05-10, 07:37:56 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,81.98.193.175
e5e29793-f391-4575-9a70-333cfcb253b1,"2020-05-10, 07:37:56 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,81.98.193.175
2bbd0409-fbbb-4f92-8c1e-d53a1fd985cd,"2020-05-10, 07:37:55 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA3WJ4ZNIH4SUBRKWUB""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::803823249935:user/Accountant""}]",,us-east-1,,81.98.193.175
4719bcd1-bd04-4b4a-8f82-63e8183aa6a1,"2020-05-10, 07:37:55 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,81.98.193.175
